property	mean_in	mean_out	contrast	cohen_d	mean_act_hi	mean_act_lo	act_cohen_d	n_in	n_out
volume	139.17739957150513	124.85148965859244	14.325909912912692	0.3749506069485413	139.91035215425842	125.31139277681193	0.38209710326718993	8788	15389
helix_prop	0.6811276797305251	0.5638813472898377	0.11724633244068738	0.29597003872231314	0.6922068235108307	0.5651970613835744	0.32061629078190934	8788	15389
disorder_prop	0.12120846720411525	0.13982845103105876	-0.018619983826943506	-0.21406148349186935	0.11602518542240182	0.14126938614255624	-0.29021566860350023	8788	15389
sheet_prop	0.6892774240552538	0.6310247579674575	0.058252666087796334	0.18015597558531796	0.7027206821611169	0.6278528960961124	0.23154097390367198	8788	15389
aromaticity	0.1635184342284934	0.10338553512249009	0.06013289910600332	0.17752414517148418	0.17412872042737218	0.10168556543058535	0.21386644175693845	8788	15389
charge	0.04392353208921256	-0.018129832997595685	0.06205336508680825	0.13947222630037337	0.03446960061053167	-0.010052099295127183	0.10006774968340003	8788	15389
hydrophobicity	-0.43879156558349236	-0.6133797108212969	0.17458814523780458	0.061910211341210906	-0.2745103362073003	-0.6826356349932501	0.14472416478860536	8788	15389
polarity	0.4101263069610027	0.3968126585984123	0.013313648362590413	0.050544737289554706	0.39993767341761394	0.4024780876699343	-0.009644581822588453	8788	15389
