epoch,l1_eff,train_recon,train_l1,train_sparsity,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,2.50e-01,0.016279,0.028228,0.1390,0.3021,0.006476,0.8353,0.9208,1.0000,361
2,5.00e-01,0.006307,0.013347,0.0892,0.7336,0.005236,0.8668,0.2687,1.0000,360
