feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
15043	0.7398175001144409	inf	0.06501547987616099	1
15426	0.7106922737193057	78.72807361002349	6.028055770262212e-205	453
3308	0.7080714702606201	inf	0.07806691449814127	1
790	0.6996279954910278	inf	0.06796116504854369	1
9600	0.6988018453121185	inf	0.012075211316198035	4
2750	0.696869354432754	27.315621329323406	0.0	458
15722	0.6953552406199544	21.51417522379237	0.0	458
4031	0.6837549209594727	inf	0.03723404255319149	1
7323	0.6735993226369222	inf	0.0670926517571885	3
744	0.6429226398468018	inf	0.046464646464646465	1
