property	mean_in	mean_out	contrast	cohen_d	mean_act_hi	mean_act_lo	act_cohen_d	n_in	n_out
hydrophobicity	2.215642951586196	-0.4013331624676849	2.6169761140538808	0.9875345159102535	-0.1681537713162606	-0.3454899702711898	0.06691907367738195	1042	20028
disorder_prop	0.054328214818693966	0.12297084205769954	-0.06864262723900558	-0.9123434116188331	0.117020133867207	0.12138870979117146	-0.058063649698431495	1042	20028
polarity	0.22201535365975064	0.4033897530227239	-0.18137439936297325	-0.7610244718845577	0.38977693729707724	0.3977125232155682	-0.033296733739298576	1042	20028
sheet_prop	0.8366602705273198	0.6919437785252902	0.14471649200202963	0.5401170538489832	0.7063109127383187	0.6939876702657038	0.04599333031153106	1042	20028
helix_prop	0.81258157838043	0.6744018428106495	0.13817973556978047	0.391536964145433	0.6896900077163151	0.67524010910351	0.0409442774784433	1042	20028
volume	141.91189816085026	135.87841369045313	6.033484470397127	0.15135791520218575	137.4228878854696	135.29316850918443	0.053426819334965	1042	20028
aromaticity	0.14875239923224567	0.12722188935490314	0.021530509877342535	0.062458246706088655	0.12720201326927477	0.12905580791693705	-0.005377706524635647	1042	20028
charge	0.003838771593090211	0.005392450569203115	-0.0015536789761129042	-0.004426761607382121	0.01864561885152139	-0.004136924075275795	0.0649123067875973	1042	20028
