feature_id	annot_type	auprc_mean	odds_ratio	fisher_p	n_proteins	pc_top_property	pc_top_cohen_d	pc_n_strong	abl_mean_contrast	abl_frac_positive	abl_mean_cohen_d	abl_structural_align	logit_mean_contrast	logit_frac_positive	conv_n_features	conv_top_auprc
15747	Domain: RNase H type-2	0.9765920120360304	25.132335184737983	2.724765588722277e-103	50	disorder_prop	-0.26744436197714494	2	0.31687327394261955	1.0	1.9061921452162542	0.02625982740197022			10	0.9696694635589449
14069	DNA binding: Fork-head	0.939475341141224	87.46720779220779	0.0	39	volume	0.442604201398715	2	0.5158155437272328	1.0	1.8770960747567613	0.022295582685398958			10	0.9384931429227195
8657	DNA binding: T-box	0.9312156884011878	88.30064899523028	0.0	50	volume	0.3749506069485413	3	0.36225162403658034	1.0	1.5417621611558794	0.039556512499743186			10	0.9293560784529237
8537	DNA binding: ETS	0.856430998586473	33.75509337860781	1.7821403689385263e-168	32	volume	0.4390055490328094	5	0.26342787907924503	1.0	2.109785732939002	0.02823139930177699			10	0.8520710952225186
7808	Binding site: [4Fe-4S] cluster	0.9079745427715036	255.80327092974335	1.6199397449285359e-133	50	disorder_prop	-1.642999403574859	7	0.9612971146404743	0.96	6.66281834513267	0.1880797607794397			10	0.900435764256474
979	Transmembrane: Helical; Signal-anchor for type II membrane protein	0.8811209023798838	65.49549071618037	0.0	50	hydrophobicity	0.9875345159102535	5	0.7663833414018154	1.0	3.11369462461129	0.25276983436644496			10	0.7398175001144409
15450	Binding site: Mn(2+)	0.6411600975902334	47.080442045746594	1.0837163357136892e-109	50	charge	-1.5104805359800335	7	0.9290171166881919	1.0	4.047406416699838	0.16045107436767048			10	0.6133333563804626
5260	Binding site: GTP	0.4669731265092001	10.527346531833071	9.074418472847308e-135	50	helix_prop	-0.6217106610704412	5	1.5889623345434665	0.98	1.958254958764109	0.3814807091735413			10	0.4566000029256066
