epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-04,0.718769,0.140673,0.3979,3259.7,0.0000,0.120584,0.8811,1.0000,1.0000,368
2,1.00e-03,0.215920,0.044303,0.2650,2171.3,0.0000,0.241190,0.7621,1.0000,1.0000,359
3,1.00e-03,0.232195,0.036092,0.2263,1853.7,0.0001,0.240891,0.7624,1.0000,1.0000,362
4,1.00e-03,0.230729,0.033796,0.2012,1648.3,0.0001,0.242172,0.7613,1.0000,1.0000,360
