annot_type	feature_id	auprc_mean	auprc_median	enrichment_gmean	odds_ratio	fisher_p	n_proteins	n_clusters	tp	fp	fn	tn
Binding site: [4Fe-4S] cluster	7808	0.8984751225480379	1.0	1.0	978.6785009861933	0.0	743	63	354.530303030303	845.2945441235477	9.3	21025.72566134701
Domain: Helicase C-terminal	15276	0.5876505937586585	0.5907540263668183	1.0	8.3897564170619	0.0	168	32	2599.5374898346436	2158.6215008584077	2247.1239812053855	15653.73975557965
Binding site: GTP	10104	0.4783887702684436	0.51809641122818	1.0	35.235127177582015	0.0	2291	58	513.9873553937866	1103.1763616583191	307.9572704557979	23258.960107848274
Transmembrane: Helical; Name=6	2598	0.273450412542281	0.30276940975870403	1.0	119.79000648929267	1.1225028724436157e-242	352	41	214.16466747538178	46.150768885202844	670.7769465260703	17252.861300996847
