feature_id	best_auprc	best_annot	mean_auprc_all	n_annots_above_03	n_annots_above_05	feat_mean_act	feat_variance	mystery_score
10325	0.05612393096089363	Helix	0.05612393096089363	0	0	3.633005471294234e-06	1.93047576923724e-06	0.9438760690391064
10626	0.0597834438085556	Region: Disordered	0.0597834438085556	0	0	2.866903958239436e-06	1.666240745140141e-06	0.9402165561914444
8999	0.06407199800014496	Domain: LIM zinc-binding 2	0.06407199800014496	0	0	9.137088118166891e-08	5.312261597237423e-08	0.935928001999855
13710	0.06598501652479172	Mutagenesis	0.06598501652479172	0	0	3.091585205025502e-07	1.384170769495107e-07	0.9340149834752083
11608	0.06989255547523499	Transmembrane: Helical; Name=2	0.06989255547523499	0	0	9.034378313591113e-08	4.8723051533993855e-08	0.930107444524765
10738	0.07465894892811775	Turn	0.07465894892811775	0	0	4.068399552444393e-06	1.2856016563236681e-06	0.9253410510718822
15045	0.07469971477985382	Zinc finger: RING-type	0.07469971477985382	0	0	2.085122543294741e-07	5.907943218087764e-08	0.9253002852201462
16222	0.07650385051965714	Disulfide bond	0.07650385051965714	0	0	1.4932664242000247e-07	3.78454659074491e-08	0.9234961494803429
12640	0.07721836864948273	Beta strand	0.07721836864948273	0	0	2.3114922879893653e-06	1.2653490639866748e-06	0.9227816313505173
12977	0.08304469287395477	Mutagenesis	0.08304469287395477	0	0	5.144118435761226e-06	3.495801573623208e-06	0.9169553071260452
3	0.08799945563077927	Turn	0.08799945563077927	0	0	3.5031670725524377e-08	1.9537444929917888e-08	0.9120005443692207
5263	0.09196427464485168	Zinc finger: C2H2-type 4	0.08117865309274445	0	0	1.7046838823130476e-07	7.058062822162723e-08	0.9080357253551483
422	0.09240283071994781	Region: Disordered	0.09240283071994781	0	0	4.458937971907884e-08	3.3726532609730187e-08	0.9075971692800522
14901	0.09346424415707588	Binding site: ATP	0.09346424415707588	0	0	2.3272506865643759e-07	8.852717003052644e-08	0.9065357558429241
1763	0.0934714674949646	Region: Disordered	0.08666795492172241	0	0	2.384239595724667e-07	1.256810148148506e-07	0.9065285325050354
10273	0.0943068340420723	Zinc finger: C3H1-type 2	0.0943068340420723	0	0	1.678361716652094e-07	7.15378068571202e-08	0.9056931659579277
10063	0.09743358194828033	Helix	0.09743358194828033	0	0	2.778528917818859e-07	8.139293315908632e-08	0.9025664180517197
1283	0.09801896661520004	Transmembrane: Helical; Name=5	0.09801896661520004	0	0	2.831632878009427e-08	1.1803630333177032e-08	0.9019810333848
5910	0.10108903050422668	Domain: bHLH	0.10108903050422668	0	0	7.951828254211391e-09	1.6588075904452188e-09	0.8989109694957733
10616	0.10131626416529928	Binding site: substrate	0.10131626416529928	0	0	4.584323633672774e-06	2.8276760377630677e-06	0.8986837358347007
12209	0.10468997061252594	Turn	0.10468997061252594	0	0	8.277742477255412e-07	3.808497685616935e-07	0.8953100293874741
7083	0.10516912980777461	Domain: PTS EIIA type-1	0.09656920156827786	0	0	4.6117045755538787e-07	1.2093169017994972e-07	0.8948308701922254
5792	0.10884717106819153	Domain: BTB	0.10884717106819153	0	0	1.1626492231726768e-07	6.197460903552854e-08	0.8911528289318085
1662	0.10906315594911575	Transmembrane: Helical; Name=4	0.10906315594911575	0	0	9.358755895219525e-07	3.786296345832859e-07	0.8909368440508842
3396	0.10929993540048599	Transmembrane: Helical; Name=4	0.10929993540048599	0	0	1.7325703366753097e-08	3.04731602750241e-09	0.890700064599514
15364	0.11000872403383255	Binding site: ATP	0.11000872403383255	0	0	6.094053479231682e-09	1.0328613489858688e-09	0.8899912759661674
10294	0.11024440079927444	Turn	0.11024440079927444	0	0	1.901259103243835e-08	5.300040004667755e-09	0.8897555992007256
1101	0.11117537319660187	Domain: RRM 4	0.08358979597687721	0	0	5.97678559143033e-08	2.79166499416464e-08	0.8888246268033981
978	0.1123388260602951	Turn	0.1123388260602951	0	0	2.703302901360779e-06	1.2773768763570011e-06	0.8876611739397049
16210	0.11533794552087784	Binding site: carboxy-S-adenosyl-L-methionine	0.11533794552087784	0	0	1.1845957433353064e-07	2.4386525247055998e-08	0.8846620544791222
4102	0.11610332131385803	Mutagenesis	0.11610332131385803	0	0	1.0041571436571476e-06	6.743082895138495e-07	0.883896678686142
4778	0.11637139320373535	Compositional bias: Polar residues	0.10742787644267082	0	0	5.518683461725042e-07	6.365165186564597e-07	0.8836286067962646
15889	0.1176852857073148	Turn	0.1176852857073148	0	0	3.5160923925762767e-07	8.87031574409246e-08	0.8823147142926852
15823	0.12108753621578217	Zinc finger: C3H1-type	0.12108753621578217	0	0	7.607544663048254e-08	3.406991438233578e-08	0.8789124637842178
513	0.12213799676724843	Zinc finger: C2H2-type 1	0.08486748892383573	0	0	1.0364204346004802e-06	5.28603669844574e-07	0.8778620032327515
8727	0.12690100073814392	Beta strand	0.12690100073814392	0	0	2.1291707826668143e-08	5.900790878624232e-09	0.8730989992618561
1696	0.12720128893852234	Zinc finger: C3H1-type 2	0.12720128893852234	0	0	3.403328407388151e-08	1.9190990214498434e-08	0.8727987110614777
13628	0.12897008657455444	Propeptide: Removed in mature form	0.12897008657455444	0	0	1.0325192952579244e-07	4.1988329530099146e-08	0.8710299134254456
468	0.13004890084266663	Beta strand	0.13004890084266663	0	0	8.566122675805219e-08	4.227182272606428e-08	0.8699510991573334
5076	0.1302293174796634	Helix	0.0809350830519908	0	0	1.3890591337582815e-05	1.0786964778789583e-05	0.8697706825203366
13174	0.13539518415927887	Domain: Ig-like C2-type 1	0.11461790651082993	0	0	1.6290972061574575e-08	6.868029650235149e-09	0.8646048158407211
4653	0.13581213355064392	Transmembrane: Helical; Name=2	0.13581213355064392	0	0	1.2821848500630064e-08	5.7612620655702244e-09	0.8641878664493561
12598	0.13629118309301488	Region: Sigma-70 factor domain-3	0.13629118309301488	0	0	6.640513796299324e-07	4.09205963951472e-07	0.8637088169069851
3926	0.13657228648662567	Region: Disordered	0.1235901489853859	0	0	1.0492967885675402e-07	9.62650249249389e-08	0.8634277135133743
14443	0.1371309757232666	Domain: EF-hand 2	0.1371309757232666	0	0	8.201269159143265e-08	3.6508127959156124e-08	0.8628690242767334
1956	0.13860632479190826	Region: Disordered	0.13860632479190826	0	0	1.4543775048604829e-08	7.370879413013883e-09	0.8613936752080917
7078	0.13860632479190826	Region: Disordered	0.13860632479190826	0	0	2.88680131579724e-08	2.4868121291303273e-08	0.8613936752080917
4878	0.13860632479190826	Region: Disordered	0.13860632479190826	0	0	4.196431843112839e-08	3.257051654932153e-08	0.8613936752080917
14553	0.1391005963087082	Mutagenesis	0.1391005963087082	0	0	8.318270173763532e-07	3.7404322019734657e-07	0.8608994036912918
10259	0.14293083176016808	Beta strand	0.09987648762762547	0	0	7.608343016614392e-06	4.1391319521429425e-06	0.8570691682398319
15901	0.1432356834411621	Compositional bias: Low complexity	0.11898757020632426	0	0	5.003752970970481e-07	5.300375328789977e-07	0.8567643165588379
1383	0.14369970187544823	Topological domain: Periplasmic	0.14369970187544823	0	0	5.028505274080792e-08	2.0816464114109832e-08	0.8563002981245518
9904	0.14603073398272196	Topological domain: Extracellular	0.14603073398272196	0	0	1.5561517783352334e-07	7.650001111965718e-08	0.8539692660172781
12441	0.149209126830101	Beta strand	0.149209126830101	0	0	5.118921029129968e-09	6.426208692310911e-10	0.850790873169899
14269	0.15404431521892548	Helix	0.15404431521892548	0	0	7.575760294598426e-08	2.321722436758086e-08	0.8459556847810745
10478	0.15612568706274033	Domain: RRM 3	0.12568184733390808	0	0	1.8561487394682963e-07	1.1747111598425574e-07	0.8438743129372597
5795	0.15781797468662262	Mutagenesis	0.10687519485751788	0	0	2.122693072108394e-05	1.5380036561926384e-05	0.8421820253133774
7069	0.16007381677627563	Beta strand	0.16007381677627563	0	0	4.525491865596351e-08	1.8593389860634306e-08	0.8399261832237244
10341	0.16100803390145302	Region: Disordered	0.13041372053946057	0	0	3.3202058802581673e-06	1.1502238444588707e-06	0.838991966098547
