feature_id	best_auprc	best_annot	mean_auprc_all	n_annots_above_03	n_annots_above_05	feat_mean_act	feat_variance	mystery_score
8604	0.9997408396595127	Domain: MGS-like	0.35900946595034383	190	110	0.21686900307638385	0.11302652445411931	0.00025916034048734105
3760	0.9997408396595127	Domain: MGS-like	0.34712949676109606	176	107	0.23747534186586727	0.21284893763784862	0.00025916034048734105
8	0.9997408396595127	Domain: MGS-like	0.33007085353412213	172	91	0.12444103062176695	0.05864736420253305	0.00025916034048734105
1512	0.9997408396595127	Domain: MGS-like	0.3707863750433143	205	119	0.2287256027765876	0.10424621435876279	0.00025916034048734105
2085	0.9997422105663425	Domain: MGS-like	0.2711274803422093	119	53	0.8031880616372387	0.2758790148562231	0.00025778943365750706
15214	0.9997502159286331	Domain: MGS-like	0.3679301415587524	194	111	0.17258396038915988	0.10548057770975795	0.0002497840713668875
16328	0.9997502159286331	Domain: MGS-like	0.32245080070687837	174	101	0.3056479103460626	0.2639954386512757	0.0002497840713668875
16010	0.9997502159286331	Domain: MGS-like	0.35288567914676194	182	103	0.2423279717537401	0.2203429117582602	0.0002497840713668875
822	0.9997502159286331	Domain: MGS-like	0.34316765646106995	178	99	0.28736902040092666	0.2756154316378151	0.0002497840713668875
8374	0.9997547635665307	Domain: MGS-like	0.36305353036143145	194	116	0.21445845666429122	0.09006423949819554	0.000245236433469298
4128	0.999759221469963	Domain: MGS-like	0.3789751805804429	207	120	0.36257657757072914	0.2842231303988222	0.00024077853003701133
5327	0.9997762277886107	Domain: MGS-like	0.3461686161578315	159	87	0.14197430471780526	0.11232112290555578	0.0002237722113892504
11966	0.9997762277886107	Domain: MGS-like	0.35128569531743686	186	111	0.26942573736643927	0.2190475996835119	0.0002237722113892504
6399	0.9997762277886107	Domain: MGS-like	0.35857672275619196	178	106	0.3195444979551904	0.22620031246603753	0.0002237722113892504
10074	0.9997842770356399	Domain: MGS-like	0.36277983412345116	194	110	0.24498778819807987	0.10656505706475279	0.00021572296436012106
12327	0.9997842770356399	Domain: MGS-like	0.3386092410231681	166	82	0.13965404567650475	0.06932409478011146	0.00021572296436012106
15652	0.9997881965322809	Domain: MGS-like	0.34397524642943306	164	85	0.2025260683462479	0.13655523036183687	0.00021180346771909608
339	0.9997881965322809	Domain: MGS-like	0.34337566290029453	184	102	0.35866682565459784	0.34926513983182383	0.00021180346771909608
10421	0.9997920498743162	Domain: MGS-like	0.33102219664242155	177	96	0.4868911408318233	0.6490647357131007	0.00020795012568375348
8539	0.9997920498743162	Domain: MGS-like	0.3444472693447869	173	92	0.2534752238221551	0.12172906471407505	0.00020795012568375348
3894	0.999795831166781	Domain: MGS-like	0.3009672282139192	130	67	0.5592547241182002	0.2816703926359626	0.00020416883321905388
13169	0.9998068429611542	Domain: MGS-like	0.3292949816476588	178	104	0.4105453344179317	0.3888666328095985	0.0001931570388458148
7775	0.9998068429611542	Domain: MGS-like	0.3829264562404244	213	120	0.2478223808217788	0.16377853324489483	0.0001931570388458148
2740	0.9998068429611542	Domain: MGS-like	0.3390996945929922	164	82	0.16276148253132502	0.07938370907149683	0.0001931570388458148
693	0.9998207301883907	Domain: MGS-like	0.3139515447568133	145	71	0.30435247897964346	0.1872882661885787	0.0001792698116093172
10976	0.9998207301883907	Domain: MGS-like	0.3285241040435816	145	79	0.3163460913643975	0.20058074878316184	0.0001792698116093172
5313	0.9998207301883907	Domain: MGS-like	0.343450065534049	191	104	0.36790029369527605	0.3473424707031817	0.0001792698116093172
13490	0.9998240745984591	Domain: MGS-like	0.3530379194509016	163	84	0.16458266270902136	0.1061265399279793	0.00017592540154087732
14244	0.9998338189753857	Domain: MGS-like	0.3469372509519407	165	88	0.16895141207130843	0.10730321450960752	0.00016618102461429807
15333	0.9998400918730013	Domain: MGS-like	0.3523848045051856	182	110	0.36326320236783216	0.18665361885118878	0.00015990812699873125
748	0.9998431644596897	Domain: MGS-like	0.3397869493318352	180	105	0.5559777688386605	0.5683452426955653	0.00015683554031031832
13767	0.9998491871487963	Domain: MGS-like	0.3193495390633127	139	76	0.37775820894578155	0.22433915995751255	0.00015081285120366328
9246	0.9998491871487963	Domain: MGS-like	0.321292364777822	142	74	0.2887038478159198	0.19761910192029722	0.00015081285120366328
16031	0.999852139871199	Domain: MGS-like	0.3308448317342084	158	83	0.2996831949878419	0.18122690832161015	0.00014786012880096955
5136	0.9998550546038282	Domain: MGS-like	0.3250215037914225	167	96	0.6620791357898506	0.6805043744594558	0.000144945396171825
4615	0.9998579326566759	Domain: MGS-like	0.3138796714000889	151	71	0.3500248905686552	0.16704586447809022	0.00014206734332411486
307	0.9998579326566759	Domain: MGS-like	0.32918163705604514	154	84	0.25114401259866576	0.12377283687769747	0.00014206734332411486
11508	0.9998663545964839	Domain: MGS-like	0.3271831182812246	157	81	0.25470995367889016	0.1283984150556155	0.00013364540351612497
6662	0.9998718002340296	Domain: MGS-like	0.310562717379624	124	72	0.40806074526010555	0.25667537367607185	0.00012819976597044924
1107	0.99987658158857	Region: Pyrophosphorylase	0.3296209264228189	98	48	0.0005007839695485295	0.000179726006248487	0.00012341841143004295
9150	0.9998923658014653	Domain: MGS-like	0.3344425949814343	156	88	0.2775273262950496	0.151262619262863	0.00010763419853465628
16032	0.9998972291474814	Domain: MGS-like	0.3162726111199203	152	82	0.40177790942755476	0.18746719530807457	0.00010277085251864104
12206	0.9999134763256534	Domain: MGS-like	0.3249033745323268	164	83	0.38751213459149797	0.15167797989456852	8.652367434658359e-05
5942	0.9999200989911844	Domain: MGS-like	0.3174857970868399	157	80	0.4718359210215155	0.19524163879366688	7.990100881560824e-05
13324	0.9999200989911844	Domain: MGS-like	0.31267630065695823	156	76	0.43618068766983437	0.18161488439681533	7.990100881560824e-05
15655	0.9999307249928568	Domain: MGS-like	0.2948318484552832	141	67	0.5981223562370448	0.21656884769296042	6.927500714315471e-05
5254	0.9999307249928568	Domain: MGS-like	0.315204593314038	157	71	0.3777450046280198	0.16987236836883218	6.927500714315471e-05
6421	0.9999428535555746	Domain: MGS-like	0.30597037975222713	151	71	0.5055389607603842	0.20276077485032984	5.7146444425448806e-05
3045	0.9999433924399671	Region: Pyrophosphorylase	0.6591633910756736	2	1	3.940542629105825e-06	1.008107036348541e-06	5.660756003289524e-05
