epoch,l1_eff,train_recon,train_l1,train_sparsity,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,2.50e-01,0.004784,0.010405,0.1294,0.7421,0.001955,0.9494,0.5621,1.0000,3808
2,5.00e-01,0.002706,0.003879,0.1345,0.7566,0.002339,0.9395,0.2499,1.0000,3743
3,5.00e-01,0.002419,0.002946,0.1337,0.7731,0.003533,0.9091,0.2235,0.9449,3556
