epoch,l1_eff,train_recon,train_l1,train_sparsity,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,1.50e-05,0.024205,0.011145,0.0078,0.9169,0.019435,0.5056,0.1156,1.0000,361
2,3.00e-05,0.017279,0.009918,0.0078,0.9012,0.017283,0.5603,0.1046,0.9935,368
