feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
8657	0.9696694635589449	27.091166745394425	1.1451754055553996e-112	101
4128	0.9666911424670304	10.790929977025272	3.093582571690918e-40	101
14069	0.9654524438892519	34.84158857652834	4.373816960559239e-84	101
5461	0.9631479470660682	16.262632197414806	3.1691119456227594e-72	101
5313	0.9543094903072983	6.80517503805175	5.582343370876761e-16	64
6399	0.9528750613198416	17.830246913580247	2.8398756460129237e-87	101
2625	0.9521729158177156	29.632549268912904	4.1608633479240396e-117	101
477	0.9488589050353233	10.200457000415454	9.26578138356517e-53	101
9301	0.9475460052490234	6.8068965517241375	0.02210597974575036	1
9674	0.9461232227093423	36.2813656931304	3.6087328908748445e-76	101
