epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-05,0.707715,0.165349,0.4250,3481.5,0.0000,0.085026,0.9163,1.0000,1.0000,359
2,1.00e-04,0.066255,0.093235,0.3903,3197.0,0.0000,0.063860,0.9371,1.0000,1.0000,352
3,1.00e-04,0.056435,0.088198,0.4023,3295.2,0.0000,0.057402,0.9435,1.0000,1.0000,353
4,1.00e-04,0.050747,0.088510,0.4229,3464.5,0.0000,0.057160,0.9437,1.0000,1.0000,353
5,1.00e-04,0.049525,0.089924,0.4409,3612.1,0.0000,0.053820,0.9471,1.0000,1.0000,348
