epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-04,0.227304,0.182706,0.4298,1760.5,0.0000,0.147222,0.8548,1.0000,1.0000,364
2,1.00e-03,0.258303,0.079212,0.3114,1275.4,0.0000,0.293914,0.7104,1.0000,1.0000,356
3,1.00e-03,0.278678,0.064095,0.2532,1037.0,0.0000,0.290796,0.7135,1.0000,1.0000,359
4,1.00e-03,0.272316,0.060139,0.2180,893.1,0.0000,0.286761,0.7175,1.0000,1.0000,357
5,1.00e-03,0.265429,0.057632,0.1914,784.2,0.0000,0.280468,0.7237,1.0000,1.0000,358
6,1.00e-03,0.260289,0.055867,0.1711,700.8,0.0000,0.279483,0.7247,1.0000,1.0000,357
