epoch,l1_eff,train_recon,train_l1,train_sparsity,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-02,0.012747,0.062723,0.2856,0.1293,0.002641,0.9329,0.9613,1.0000,370
2,1.00e-01,0.002218,0.040055,0.2215,0.5175,0.001956,0.9502,0.5059,1.0000,361
