epoch,l1_eff,train_recon,train_l1,train_sparsity,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,1.50e-05,0.012413,0.104767,0.3668,0.2111,0.003703,0.9050,0.9142,1.0000,500
2,3.00e-05,0.003188,0.114351,0.3774,0.4196,0.002869,0.9263,0.5852,1.0000,435
3,3.00e-05,0.002646,0.113974,0.3763,0.4461,0.002483,0.9363,0.5577,1.0000,367
