epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-05,0.109388,0.110375,0.4976,4076.1,0.0000,0.032122,0.9685,1.0000,1.0000,3445
2,1.00e-04,0.028019,0.090524,0.4234,3468.6,0.0000,0.010498,0.9897,1.0000,1.0000,3731
3,3.00e-04,0.046005,0.064985,0.2366,1938.1,0.0000,0.052418,0.9483,1.0000,1.0000,5227
4,9.00e-04,0.181214,0.031741,0.1091,893.8,0.0000,0.204080,0.7995,1.0000,1.0000,3457
5,2.70e-03,0.429033,0.009397,0.0211,172.9,0.0000,0.457702,0.5513,1.0000,1.0000,3445
6,4.44e-03,0.513769,0.005359,0.0072,59.2,0.0229,0.553645,0.4573,0.9771,1.0000,3439
7,4.27e-03,0.502678,0.005370,0.0061,50.0,0.0236,0.545112,0.4657,0.9764,1.0000,3440
