feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
8657	0.9384931429227195	196.29974747474748	0.0	43
8963	0.9191875942548116	inf	2.1501396015719797e-18	43
14259	0.9115071363250415	430.7857142857143	0.0	43
15747	0.8817210554083189	23.825754562179903	3.26993124562346e-269	43
477	0.861598088244597	15.876752728240618	1.4674408392645733e-170	43
4859	0.8529341480135917	6.526138606198971	8.47110902816813e-49	43
13774	0.8396508099635442	61.145073891625614	0.0	43
8537	0.8325310656428337	20.466128029832195	1.1384070766156476e-164	43
4095	0.8310170232256253	77.0857598723574	8.19306975887e-313	43
15214	0.8266501091144703	4.476381768382611	2.965284545767091e-20	26
