property	mean_in	mean_out	contrast	cohen_d	mean_act_hi	mean_act_lo	act_cohen_d	n_in	n_out
volume	140.6136164843857	123.20628199778258	17.407334486603105	0.442604201398715	123.18864263593947	130.7722082752277	-0.1928220553304771	3657	12127
helix_prop	0.6342220460460719	0.5445444083394679	0.08967763770660397	0.21881738225479294	0.5147776454889773	0.6094033963993314	-0.23089099621290504	3657	12127
polarity	0.43736122376220554	0.3908345019831114	0.046526721779094116	0.18039537423060556	0.3891581668831711	0.412477760616252	-0.09041571547546756	3657	12127
aromaticity	0.16789718348372984	0.10703389131689618	0.06086329216683366	0.17744876284384384	0.12008703930368557	0.12204957893488316	-0.0057218434493065285	3657	12127
sheet_prop	0.6921164888500483	0.6441114873610669	0.04800500148898135	0.1526543007222779	0.6410689518376466	0.6675874752805208	-0.08432801847300173	3657	12127
charge	0.05578342904019688	-0.0008246062505153789	0.05660803529071226	0.13620107516086793	0.0208078335373317	0.004863005574664927	0.03836385948774661	3657	12127
hydrophobicity	-0.7073010851491303	-0.5377340064753976	-0.16956707867373266	-0.062158705314832204	-0.6707330541344512	-0.4952912131261888	-0.06431223431116134	3657	12127
disorder_prop	0.1298414017441806	0.13517193207346007	-0.005330530329279465	-0.06182926769572002	0.13804161722517114	0.1303570175514928	0.08913431516344561	3657	12127
