feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
14069	0.8520710952225186	322.784140969163	2.978024508919831e-231	37
8657	0.8228482486236662	60.163990618798486	5.809775714512563e-283	37
15747	0.7996789935089293	35.50544217687075	1.4166574677211112e-183	37
9846	0.7674852296710014	54.87081339712919	2.9371908922676904e-108	37
4859	0.7634753980452106	41.146327356853675	3.681808745953743e-49	37
5461	0.7503604197785968	51.45945945945946	1.9025259455481477e-127	37
8128	0.7344424494675229	16.716607336325644	7.227479848390182e-32	37
5258	0.7343091220905383	21.278258655804482	2.6391058606498345e-151	34
6369	0.730547060107901	inf	1.9096068539576983e-06	37
11173	0.7280440776830627	16.595570139458573	8.503894796503259e-152	37
