property	mean_in	mean_out	contrast	cohen_d	mean_act_hi	mean_act_lo	act_cohen_d	n_in	n_out
volume	146.78839410835187	129.77959662857984	17.008797479772028	0.4390055490328094	138.54199829738263	128.52623771867388	0.25851177762956923	2611	11749
helix_prop	0.7279241745474694	0.5858004980885695	0.1421236764588999	0.37864150573560573	0.6547360031735053	0.578609919548768	0.2028127589125576	2611	11749
disorder_prop	0.12058981339087298	0.1424419120756621	-0.021852098684789115	-0.25088787180145145	0.12834376671272724	0.14622955066472135	-0.2053498996112401	2611	11749
sheet_prop	0.713416314670657	0.6340267254612437	0.0793895892094133	0.25048492975992653	0.6717557368883446	0.6306064704758227	0.12983152085375557	2611	11749
charge	0.07736499425507469	-0.0268107924078645	0.1041757866629392	0.20753039332605275	0.07799711121810303	-0.07368680034444582	0.3021721537813806	2611	11749
aromaticity	0.17387973956338568	0.1161801004340795	0.057699639129306174	0.16441116818782003	0.1242176215695715	0.12855209742895804	-0.012350791968154468	2611	11749
polarity	0.43752201912230526	0.4184092263032329	0.019112792819072355	0.07427206898995606	0.4078895815483278	0.432611638471816	-0.09606959771795698	2611	11749
hydrophobicity	-0.7485254932436072	-0.7618265625506992	0.013301069307092073	0.004568228949738763	-0.604060371023295	-0.8784844598869568	0.09425047252285434	2611	11749
