epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,1.50e-05,0.579740,0.107255,0.0703,288.0,0.0000,0.486690,0.5129,1.0000,1.0000,50
2,3.00e-05,0.642716,0.029750,0.0156,64.0,0.0000,0.636595,0.3637,1.0000,1.0000,39
3,3.00e-05,0.584742,0.031488,0.0156,64.0,0.0000,0.604490,0.3961,1.0000,1.0000,36
4,3.00e-05,0.553509,0.032265,0.0156,64.0,0.0000,0.584226,0.4165,1.0000,1.0000,36
5,3.00e-05,0.530984,0.032826,0.0156,64.0,0.0000,0.570342,0.4304,1.0000,1.0000,36
6,3.00e-05,0.513977,0.033221,0.0156,64.0,0.0000,0.561696,0.4393,1.0000,1.0000,36
