epoch,l1_eff,train_recon,train_l1,train_sparsity,train_l0,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,5.00e-04,3.541247,0.320221,0.5132,4204.2,0.0000,2.091529,-1.1444,1.0000,1.0000,50
2,1.00e-03,1.317953,0.227909,0.4946,4052.0,0.0000,0.948777,0.0285,1.0000,1.0000,41
3,2.00e-03,0.587189,0.159240,0.4587,3757.8,0.0000,0.445877,0.5435,1.0000,1.0000,37
4,4.00e-03,0.369585,0.096235,0.3946,3232.5,0.0000,0.391566,0.5937,1.0000,1.0000,38
5,8.00e-03,0.567105,0.040089,0.2750,2252.8,0.0000,0.740050,0.2370,1.0000,1.0000,38
6,8.00e-03,0.862521,0.008091,0.1013,829.8,0.0000,0.934697,0.0419,1.0000,1.0000,37
7,4.00e-03,0.929026,0.002506,0.0299,245.0,0.3179,0.933645,0.0432,0.6821,1.0000,37
8,3.91e-03,0.789417,0.013126,0.1514,1240.3,0.6140,0.872564,0.1049,0.3860,1.0000,37
9,1.96e-03,0.675004,0.019830,0.3457,2831.7,0.0121,0.748120,0.2309,0.9879,1.0000,37
