feature_id	best_auprc	best_annot	best_or	mean_auprc_all	n_annots_above_03	n_annots_above_05	mystery_score
2919	0.9928178099966622	Domain: SMP-LTD	86.01960784313725	0.32963708178068407	255	150	0.007182190003337752
1706	0.9929440171962375	Region: Interaction with TCF3	148.2984693877551	0.29395236114549533	231	123	0.007055982803762517
7826	0.9934683876830985	Domain: SMP-LTD	1361.1028586066864	0.21635059990444622	151	68	0.0065316123169014695
1913	0.9937168395604977	Domain: SMP-LTD	221.17777777777778	0.34727364888088785	262	153	0.006283160439502278
7157	0.9948748918186373	Region: Interaction with TCF3	119.40293582157487	0.2780255693033422	224	100	0.005125108181362692
4429	0.9953810359784199	Region: Interaction with TCF3	49.47005144536992	0.23347506067148155	173	74	0.00461896402158013
1149	0.9954839790963002	Domain: SMP-LTD	142.37851538681022	0.35661107605223796	278	166	0.004516020903699847
1696	0.9956684080357464	Domain: SMP-LTD	81.2105458596361	0.354184405743839	278	163	0.004331591964253589
4349	0.9958362444706573	Region: Interaction with TCF3	240.125467923067	0.34251699920036305	267	157	0.004163755529342672
1140	0.995841513361567	Domain: SMP-LTD	54.31742149503809	0.2793270844079085	221	106	0.00415848663843299
5542	0.9958989295815384	Domain: SMP-LTD	36.21621621621622	0.3020955458717351	248	119	0.004101070418461639
1310	0.9961730106859767	Domain: CN hydrolase	155.93050193050192	0.355013815255541	280	161	0.0038269893140232547
452	0.9961799224507875	Region: Interaction with TCF3	35.36904297168253	0.249837757666848	191	78	0.0038200775492125416
5077	0.9963312482733152	Region: Interaction with TCF3	197.5048036048291	0.26245610152707355	203	94	0.0036687517266847935
4241	0.9964509323056898	Region: Interaction with TCF3	134.6368778280543	0.3244927427210613	254	148	0.0035490676943101818
2399	0.996496208303728	Domain: SMP-LTD	68.07321858557032	0.32772419393692925	251	151	0.0035037916962720184
3837	0.996858499613305	Region: Interaction with TCF3	385.2766025626761	0.3193147957308571	249	143	0.0031415003866950286
4131	0.9968779218744365	Domain: CN hydrolase	167.90050903377386	0.3535011208546379	275	168	0.003122078125563532
2569	0.9968807088627369	Domain: SMP-LTD	54.61729010806317	0.3276376577071471	258	149	0.0031192911372630583
5035	0.997071465016762	Region: Interaction with TCF3	50.75221238938053	0.31017530678401556	248	138	0.0029285349832379737
1622	0.9970743429247161	Region: Interaction with TCF3	70.75692676351655	0.3092974716695978	242	129	0.002925657075283916
5513	0.9970757482600582	Region: Interaction with TCF3	142.41786741026635	0.32628278054529014	259	144	0.002924251739941819
