epoch,l1_eff,train_recon,train_l1,train_sparsity,train_dead_frac,val_recon,val_r2,alive_frac,ever_active_frac,elapsed_s
1,2.50e-01,0.003186,0.016209,0.1367,0.7587,0.001051,0.9728,0.5833,1.0000,3514
2,5.00e-01,0.001463,0.006947,0.1371,0.8228,0.001250,0.9677,0.1775,1.0000,3624
3,5.00e-01,0.001260,0.005454,0.1421,0.8216,0.001374,0.9645,0.1775,0.9628,3804
