feature_id	auprc_mean	odds_ratio	fisher_p	n_proteins
10104	0.4566000029256066	4.955726426781136	5.739177962849795e-100	2273
15450	0.41193847191712957	11.527238824626263	5.286846158946018e-237	2491
7775	0.4058117073600907	10.78544801877675	1.3680057653686128e-13	2241
12955	0.34848976135253906	inf	0.07480314960629922	2
733	0.3333803415298462	inf	0.08597285067873305	1
10413	0.32179582634163	6.363070078825181	4.425343062912981e-123	2385
11513	0.3178956210613251	13.75	0.007118071393262087	3
5476	0.3171375095844269	6.529411764705882	0.20775007715784782	3
12803	0.3161410838365555	13.058823529411764	0.03169453874848066	4
8092	0.3147742010189179	2.8350566968949176	2.9639175589484026e-30	1930
