property	mean_in	mean_out	contrast	cohen_d	mean_act_hi	mean_act_lo	act_cohen_d	n_in	n_out
helix_prop	0.47046052799315047	0.7026665256835839	-0.23220599769043343	-0.6217106610704412	0.6740526305635661	0.7147856317247576	-0.1090589447782844	608	18271
volume	112.88930891689502	134.91428335867428	-22.024974441779264	-0.5827633752046276	132.11925420075488	136.1388714947278	-0.10635588919563405	608	18271
disorder_prop	0.1556250002284191	0.12054403242844972	0.03508096779996939	0.4684493081536441	0.1216613460538455	0.12168538285341006	-0.00032097239136758004	608	18271
hydrophobicity	-1.4348684446886182	-0.29758636905024655	-1.1372820756383717	-0.42722119285899457	-0.36927229516125326	-0.3017048087319387	-0.02538179645064103	608	18271
aromaticity	0.03618421052631579	0.1102840567018773	-0.0740998461755615	-0.2873507600135875	0.11604095563139932	0.10034708044099633	0.06085905971837212	608	18271
polarity	0.4486184203507085	0.3992644070120752	0.04935401333863326	0.17632452792285885	0.3950170639602542	0.4062658215740984	-0.04018785387058187	608	18271
sheet_prop	0.647220396191666	0.6959657379754377	-0.048745341783771656	-0.1734576734306013	0.6944137399225236	0.6943793384766715	0.0001224156922854885	608	18271
charge	0.046052631578947366	-0.02309671063433857	0.06914934221328593	0.13918628896352353	-0.025762413299570627	-0.016333197223356473	-0.018979466058193173	608	18271
