property	mean_in	mean_out	contrast	cohen_d	mean_act_hi	mean_act_lo	act_cohen_d	n_in	n_out
charge	-0.7134831460674157	-0.007065151940909638	-0.7064179941265061	-1.5104805359800335	-0.03494975972040192	-0.003457359236088245	-0.06733783448093388	178	24911
hydrophobicity	-2.9893258537134426	-0.25459037299981385	-2.7347354807136286	-1.1303605951976519	-0.3028397001049413	-0.2631215323860566	-0.016416890050061847	178	24911
polarity	0.6301123660601927	0.389466900846987	0.24064546521320573	1.0674468543715308	0.38639871740299525	0.3929738763994972	-0.02916586348963759	178	24911
sheet_prop	0.4503932576835825	0.6877540042162908	-0.23736074653270833	-0.85923574491534	0.6862137758551301	0.6860158050764197	0.0007166457470392159	178	24911
disorder_prop	0.18573033736411776	0.12067841618363671	0.06505192118048105	0.8376848083507626	0.12055337212456832	0.12136099326209947	-0.010399876675983537	178	24911
helix_prop	0.8064606728848447	0.6895303331017326	0.11693033978311207	0.388798398141746	0.6916979809454544	0.6898556740488602	0.006125749498461565	178	24911
volume	128.089884040061	134.65912090554338	-6.569236865482367	-0.21599673681562512	133.0390109996426	135.20549180674874	-0.07123396435397737	178	24911
aromaticity	0.16853932584269662	0.10762313837260648	0.060916187470090144	0.17726845312780054	0.11504295907965632	0.1054220173416749	0.027997311229663785	178	24911
