split,N,mean,median,std,min,max
train,402254,367.5588409313518,299.0,354.1492096305201,2,35213
val,86972,341.828335556271,281.0,308.45667117008264,4,15639
test,85401,361.83494338473787,292.0,333.82805547893696,2,18562
