split,n_proteins,pct_proteins,n_clusters,pct_clusters,n_annotations,pct_annotations
train,402254,70.00262779159351,54845,71.12197525741111,3955129,71.37646328256415
val,86972,15.13538347484542,11025,14.297014809243457,760822,13.730218040313483
test,85401,14.861988733561073,11244,14.581009933345438,825272,14.89331867712236
